레시피ID,품목ID,레시피원료명,소모량,단위
R0085,P0045,원두,9.25,g
R0086,P0084,망고주스,250.0,ml
R0086,P0004,냉동망고,100.0,g
R0086,P0019,시럽,30.0,g
R0087,P0113,제로 복숭아베이스,80.0,g
R0088,P0113,제로 복숭아베이스,80.0,g
R0088,P0045,원두,9.25,g
R0089,P0111,제로 레몬베이스,80.0,g
R0089,P0050,탄산수,1.0,EA
R0089,P0127,냉동 레몬슬라이스,10.0,g
R0090,P0112,제로 자몽베이스,80.0,g
R0090,P0050,탄산수,1.0,EA
R0090,P0127,냉동 레몬슬라이스,10.0,g
R0091,P0060,나타드코코,20.0,g
R0091,P0014,돌 파인애플 주스,275.0,ml
R0091,P0129,냉동 파인애플,100.0,g
R0091,P0019,시럽,10.0,g
R0092,P0005,냉동토마토,250.0,g
R0092,P0019,시럽,50.0,g
R0093,P0006,냉동 감귤,250.0,g
R0093,P0019,시럽,30.0,g
R0094,P0026,냉동수박,250.0,ml
R0094,P0019,시럽,40.0,g
R0095,P0111,제로 레몬베이스,80.0,g
R0095,P0127,냉동 레몬슬라이스,10.0,g
R0096,P0111,제로 레몬베이스,80.0,g
R0096,P0127,냉동 레몬슬라이스,10.0,g
R0097,P0112,제로 자몽베이스,80.0,g
R0097,P0127,냉동 레몬슬라이스,10.0,g
R0098,P0112,제로 자몽베이스,80.0,g
R0098,P0127,냉동 레몬슬라이스,10.0,g
R0099,P0114,딸기 피치 루이보스티,1.0,EA
R0099,P0130,딸기베이스,50.0,g
R0099,P0131,딸기소스,10.0,g
R0099,P0019,시럽,10.0,g
R0099,P0127,냉동 레몬슬라이스,10.0,g
R0099,P0115,동결건조 딸기 다이스,1.0,g
R0100,P0045,원두,18.5,g
R0101,P0116,율무차파우더,60.0,g
R0101,P0046,우유,250.0,ml
R0101,P0011,현미크런치,5.0,g
R0102,P0116,율무차파우더,60.0,g
R0102,P0046,우유,250.0,ml
R0102,P0011,현미크런치,5.0,g
R0103,P0116,율무차파우더,60.0,g
R0103,P0117,아몬드브리즈,250.0,ml
R0103,P0011,현미크런치,5.0,g
R0104,P0116,율무차파우더,60.0,g
R0104,P0117,아몬드브리즈,250.0,ml
R0104,P0011,현미크런치,5.0,g
R0105,P0118,생강차베이스,80.0,g
R0105,P0127,냉동 레몬슬라이스,10.0,g
R0106,P0118,생강차베이스,80.0,g
R0106,P0127,냉동 레몬슬라이스,10.0,g
R0107,P0099,생크림,75.0,ml
R0107,P0019,시럽,30.0,g
R0107,P0045,원두,18.5,g
R0108,P0099,생크림,75.0,ml
R0108,P0019,시럽,30.0,g
R0108,P0046,우유,200.0,ml
R0108,P0045,원두,18.5,g
R0109,P0099,생크림,75.0,ml
R0109,P0106,피스타치오 파우더,15.0,g
R0109,P0019,시럽,20.0,g
R0109,P0046,우유,200.0,ml
R0109,P0045,원두,18.5,g
R0110,P0099,생크림,75.0,ml
R0110,P0106,피스타치오 파우더,15.0,g
R0110,P0019,시럽,20.0,g
R0110,P0046,우유,225.0,ml
R0110,P0049,초코소스,60.0,g
R0111,P0046,우유,250.0,ml
R0111,P0079,리얼베이스 우베,60.0,g
R0112,P0046,우유,250.0,ml
R0112,P0079,리얼베이스 우베,60.0,g
R0112,P0132,아이스크림,120.0,g
R0113,P0099,생크림,75.0,ml
R0113,P0019,시럽,20.0,g
R0113,P0046,우유,200.0,ml
R0113,P0079,리얼베이스 우베,60.0,g
R0114,P0099,생크림,75.0,ml
R0114,P0063,원조커피 원액,30.0,g
R0114,P0046,우유,200.0,ml
R0114,P0019,시럽,10.0,g
R0114,P0045,원두,18.5,g
R0115,P0099,생크림,75.0,ml
R0115,P0063,원조커피 원액,30.0,g
R0115,P0046,우유,200.0,ml
R0115,P0041,빽다방 옛날미숫가루,40.0,g
R0115,P0019,시럽,30.0,g
R0116,P0046,우유,200.0,ml
R0116,P0106,피스타치오 파우더,105.0,g
R0116,P0031,도블라 컬스 미니 다크 초콜릿,5.0,g
R0117,P0046,우유,200.0,ml
R0117,P0116,율무차파우더,72.0,g
R0117,P0019,시럽,40.0,g
R0117,P0119,단팥,120.0,g
R0117,P0120,인절미떡,15.0,g
R0118,P0046,우유,150.0,ml
R0118,P0119,단팥,150.0,g
R0118,P0019,시럽,30.0,g
R0118,P0120,인절미떡,15.0,g
R0118,P0085,매일 연유,5.0,g
R0119,P0046,우유,50.0,ml
R0119,P0085,매일 연유,15.0,g
R0119,P0019,시럽,10.0,g
R0119,P0119,단팥,120.0,g
R0119,P0041,빽다방 옛날미숫가루,8.0,g
R0119,P0120,인절미떡,30.0,g
R0120,P0046,우유,50.0,ml
R0120,P0125,베버시티 망고베이스,40.0,g
R0120,P0019,시럽,10.0,g
R0120,P0004,냉동 망고 1kg(솜),100.0,g
R0120,P0060,나타드코코,20.0,g
