레시피ID,품목ID,레시피원료명,소모량,단위
R0043,P0068,종이컵 (HOT),1.0,EA
R0043,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0043,P0070,컵홀더 (HOT),1.0,EA
R0044,P0071,아이스컵 (24oz),1.0,EA
R0044,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0044,P0073,컵홀더 (24oz),1.0,EA
R0044,P0074,일반 빨대,1.0,EA
R0045,P0068,종이컵 (HOT),1.0,EA
R0045,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0045,P0070,컵홀더 (HOT),1.0,EA
R0046,P0071,아이스컵 (24oz),1.0,EA
R0046,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0046,P0073,컵홀더 (24oz),1.0,EA
R0046,P0074,일반 빨대,1.0,EA
R0047,P0068,종이컵 (HOT),1.0,EA
R0047,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0047,P0070,컵홀더 (HOT),1.0,EA
R0048,P0071,아이스컵 (24oz),1.0,EA
R0048,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0048,P0073,컵홀더 (24oz),1.0,EA
R0048,P0074,일반 빨대,1.0,EA
R0049,P0071,아이스컵 (24oz),1.0,EA
R0049,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0049,P0073,컵홀더 (24oz),1.0,EA
R0049,P0074,일반 빨대,1.0,EA
R0050,P0071,아이스컵 (24oz),1.0,EA
R0050,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0050,P0073,컵홀더 (24oz),1.0,EA
R0050,P0074,일반 빨대,1.0,EA
R0051,P0071,아이스컵 (24oz),1.0,EA
R0051,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0051,P0073,컵홀더 (24oz),1.0,EA
R0051,P0074,일반 빨대,1.0,EA
R0052,P0071,아이스컵 (24oz),1.0,EA
